# BOSCH-DARAB extract file created 30.01.2026 19:59:50
#
# Data from source file "C:\Bosch\WinDarab\Data\DataFiles\FK07_10_12_2025 Outing 34 SCCA AutoX.bmsbin"
# where 0.000 <= xtime <= 4890.020
# 
xtime    [s]	xdist    [m]	az       [g]	Coolant_Temperature[°C]	Engine_Speed[rpm]	Fuel_Pressure[kPa]	gps_speed[km/h]	lapdist  [m]	laptime  [s]	str_whl_angle[°]	Throttle_Position[%]
          5.400	            0.0	       0.993690	           20.6	              0	          341.6	           0.00	            0.0	          5.400	         197.43	           19.9
          5.500	            0.0	       0.993690	           20.6	              0	          342.6	           0.00	            0.0	          5.500	         197.45	           19.9
          5.600	            0.0	       0.995857	           20.6	              0	          342.4	           0.00	            0.0	          5.600	         197.43	           20.0
          5.700	            0.0	       0.988337	           20.6	              0	          342.0	           0.00	            0.0	          5.700	         197.43	           20.0
          5.800	            0.0	       0.995092	           20.6	              0	          342.3	           0.00	            0.0	          5.800	         197.45	           19.9
          5.900	            0.0	       0.994710	           20.6	              0	          342.9	           0.00	            0.0	          5.900	         197.40	           19.9
          6.000	            0.0	       0.992543	           20.7	              0	          343.2	           0.00	            0.0	          6.000	         197.43	           19.9
          6.100	            0.0	       0.995220	           20.7	              0	          342.0	           0.00	            0.0	          6.100	         197.40	           19.9
          6.200	            0.0	       0.996877	           20.6	              0	          342.3	           0.00	            0.0	          6.200	         197.40	           19.9
          6.300	            0.0	       0.993945	           20.6	              0	          343.1	           0.00	            0.0	          6.300	         197.43	           20.0
          6.400	            0.0	       0.998024	           20.6	              0	          342.6	           0.00	            0.0	          6.400	         197.45	           20.0
          6.500	            0.0	       0.997259	           20.6	              0	          342.2	           0.00	            0.0	          6.500	         197.45	           19.9
          6.600	            0.0	       0.996112	           20.6	              0	          342.4	           0.00	            0.0	          6.600	         197.43	           19.9
          6.700	            0.0	       0.993945	           20.6	              0	          343.0	           0.00	            0.0	          6.700	         197.43	           19.9
          6.800	            0.0	       0.995730	           20.6	              0	          343.2	           0.00	            0.0	          6.800	         197.40	           19.9
          6.900	            0.0	       0.997259	           20.6	              0	          342.8	           0.00	            0.0	          6.900	         197.45	           19.9
          7.000	            0.0	       0.996877	           20.6	              0	          342.0	           0.00	            0.0	          7.000	         197.43	           19.9
          7.100	            0.0	       0.990759	           20.6	              0	          343.3	           0.00	            0.0	          7.100	         197.40	           19.9
          7.200	            0.0	       0.995220	           20.6	              0	          343.8	           0.00	            0.0	          7.200	         197.43	           20.0
          7.300	            0.0	       0.990249	           20.6	              0	          342.6	           0.00	            0.0	          7.300	         197.43	           19.9
          7.400	            0.0	       0.991651	           20.6	              0	          342.5	           0.00	            0.0	          7.400	         197.43	           19.9
          7.500	            0.0	       0.991268	           20.6	              0	          343.4	           0.00	            0.0	          7.500	         197.45	           19.9
          7.600	            0.0	       0.996494	           20.6	              0	          343.9	           0.00	            0.0	          7.600	         197.40	           20.0
          7.700	            0.0	       1.002103	           20.6	              0	          342.7	           0.00	            0.0	          7.700	         197.40	           20.0
          7.800	            0.0	       1.009368	           20.6	              0	          341.6	           0.00	            0.0	          7.800	         197.43	           19.9
          7.900	            0.0	       0.983748	           20.6	              0	          342.2	           0.00	            0.0	          7.900	         197.43	           19.9
          8.000	            0.0	       0.979924	           20.6	              0	          342.6	           0.00	            0.0	          8.000	         197.43	           19.9
          8.100	            0.0	       0.998279	           20.6	              0	          343.3	           0.00	            0.0	          8.100	         197.40	           19.9
          8.200	            0.0	       0.995730	           20.6	              0	          341.9	           0.00	            0.0	          8.200	         197.43	           20.0
          8.300	            0.0	       0.996877	           20.6	              0	          342.4	           0.00	            0.0	          8.300	         197.43	           19.9
          8.400	            0.0	       0.997259	           20.6	              0	          343.2	           0.00	            0.0	          8.400	         197.43	           20.0
          8.500	            0.0	       0.991523	           20.6	              0	          343.4	           0.00	            0.0	          8.500	         197.43	           19.9
          8.600	            0.0	       0.994710	           20.6	              0	          342.7	           0.00	            0.0	          8.600	         197.43	           20.0
          8.700	            0.0	       0.997132	           20.6	              0	          342.4	           0.00	            0.0	          8.700	         197.45	           20.0
          8.800	            0.0	       0.991523	           20.7	              0	          343.6	           0.00	            0.0	          8.800	         197.45	           19.9
          8.900	            0.0	       0.997514	           20.7	              0	          343.7	           0.00	            0.0	          8.900	         197.43	           19.9
          9.000	            0.0	       0.983111	           20.6	              0	          342.9	           0.00	            0.0	          9.000	         197.45	           20.0
          9.100	            0.0	       0.968452	           20.6	              0	          342.3	           0.00	            0.0	          9.100	         197.55	           20.0
          9.200	            0.0	       1.039323	           20.6	              0	          343.0	           0.00	            0.0	          9.200	         197.50	           19.9
          9.300	            0.0	       0.988719	           20.6	              0	          344.0	           0.00	            0.0	          9.300	         197.55	           19.9
          9.400	            0.0	       0.992288	           20.6	              0	          342.5	           0.00	            0.0	          9.400	         197.55	           19.9
          9.500	            0.0	       0.987317	           20.6	              0	          341.3	           0.00	            0.0	          9.500	         197.55	           20.0
